update,global_step,mean_reward,done_rate,policy_loss,value_loss,entropy,approx_kl,explained_variance,steps_per_second,device
1,16384,0.0037413707468658686,0.0,-0.0006470813532359898,0.6092907637357712,5.218318238854408,0.008364834880012495,0.018682122230529785,775.9251922413247,cuda
2,32768,0.006363383494317532,0.0,-0.0026757147134048864,0.4015802750363946,5.22870360314846,0.0073988418089356855,0.034096717834472656,955.7917228008129,cuda
3,49152,0.01066286489367485,0.0001220703125,-0.001140978914918378,1.9211698696017265,5.238306015729904,0.009249478933270439,0.005077183246612549,1093.7386554392942,cuda
4,65536,0.009274335578083992,0.0,-0.0020438648643903434,0.11557741952128708,5.249977231025696,0.007570122583274497,0.12138581275939941,1117.420419358685,cuda
5,81920,0.009645509533584118,0.0,-0.0021209912229096517,0.10690539074130356,5.263855114579201,0.0073487244626448955,0.1028749942779541,1130.7443423950824,cuda
6,98304,0.010306456126272678,0.000244140625,-0.0024286054831463844,3.2712814658880234,5.2707841247320175,0.012912021183183242,-0.001458883285522461,1240.096787933895,cuda
7,114688,0.010501906275749207,0.000244140625,-0.0013937094336142763,3.2490688748657703,5.282149523496628,0.010338726779082208,0.01397693157196045,1203.052072060774,cuda
8,131072,0.014706151559948921,0.0032958984375,-0.00238578935386613,12.786456435918808,5.299373224377632,0.009154190018307418,-7.748603820800781e-05,897.4018708405818,cuda
9,147456,0.008947235532104969,0.0,-0.0026375714005553164,0.44202710408717394,5.30640783905983,0.007389681316453789,0.0885736346244812,1037.6416530184435,cuda
10,163840,0.00966755859553814,0.0001220703125,-0.0027156996657140553,0.26117285899817944,5.316122904419899,0.007632805531102349,0.08326458930969238,1121.3013958611741,cuda
11,180224,0.012397765181958675,0.0,-0.0032755999272922054,0.20360069070011377,5.327040821313858,0.007831045014427218,0.11881101131439209,1114.7568361945446,cuda
12,196608,0.013187004253268242,0.0001220703125,-0.002941074941190891,1.7485209265723825,5.338701903820038,0.009315880566646229,0.019648313522338867,1209.2281598726058,cuda
13,212992,0.013190429657697678,0.0010986328125,-0.0018371940241195261,11.24996080994606,5.354992687702179,0.00938085577035963,0.005145668983459473,1185.1885637074652,cuda
14,229376,0.010509829968214035,0.0003662109375,-0.0005915060319239274,5.008364953100681,5.369370847940445,0.009789590597392817,0.026665329933166504,1083.6588943084998,cuda
15,245760,0.01727144420146942,0.002197265625,-0.00286875176243484,15.722298175096512,5.385585069656372,0.008280552550786524,0.014153659343719482,923.5168563768917,cuda
16,262144,0.013456697575747967,0.00048828125,-0.003390998361282982,6.64222314953804,5.40413872897625,0.009654936952756543,0.03301435708999634,1045.579575776249,cuda
17,278528,0.012914638966321945,0.0003662109375,-0.0022001133766025305,3.1462636701762676,5.415519565343857,0.008871422583979438,0.08382242918014526,1073.3724394605097,cuda
18,294912,0.01387175265699625,0.0,-0.0027822619304060936,0.2735223611816764,5.422324299812317,0.007075292424815416,0.3300897479057312,1201.7056612354056,cuda
19,311296,0.01290249451994896,0.00048828125,-0.0014210208901204169,4.61673691868782,5.430725499987602,0.01762779973250872,0.10383594036102295,1126.7421311583116,cuda
20,327680,0.013187563046813011,0.0010986328125,-0.0018980326422024518,6.374679297208786,5.447400823235512,0.008106376733849174,0.07730132341384888,1096.5824147994185,cuda
21,344064,0.014946432784199715,0.0010986328125,-0.001834844471886754,12.326705902814865,5.469765827059746,0.01029202798508777,0.09742891788482666,954.3610888207417,cuda
22,360448,0.013804517686367035,0.0008544921875,-0.001381530295475386,6.424894466996193,5.4873408526182175,0.010109462719810836,0.0622633695602417,925.3534140182333,cuda
23,376832,0.012396343052387238,0.000732421875,-0.0016055791784310713,4.821953058242798,5.5016188621521,0.007979128101396782,0.14303934574127197,1073.6884584675947,cuda
24,393216,0.013002741150557995,0.0003662109375,-0.0007771032978780568,3.297665048390627,5.516688048839569,0.006388574937773228,0.2175883650779724,1081.6792766583042,cuda
25,409600,0.015046188607811928,0.0,-0.003035981717403047,0.35360277723520994,5.525913119316101,0.0066183103417643,0.6118043959140778,1191.9856605750929,cuda
26,425984,0.015265177004039288,0.00048828125,-0.0014828717103227973,4.416111800819635,5.532186850905418,0.009527060439722845,0.24402844905853271,1252.4497478280011,cuda
27,442368,0.018753083422780037,0.0008544921875,-0.0010736834810813889,5.130460575222969,5.550979435443878,0.010330060345950187,0.14870822429656982,1132.6461961346834,cuda
28,458752,0.015064308419823647,0.0008544921875,-0.0012415901583153754,6.2494316548109055,5.570558995008469,0.0057747616183405626,0.20729327201843262,1093.5118009495886,cuda
29,475136,0.013168706558644772,0.000732421875,-0.002127606021531392,1.9792321603745222,5.585907518863678,0.008137362348861643,0.35291576385498047,1037.9902925270746,cuda
30,491520,0.015412264503538609,0.0006103515625,-0.00014367312178364955,4.676880486309528,5.6042113453149796,0.006962902401937754,0.2806133031845093,1159.0361488303763,cuda
31,507904,0.01635339856147766,0.00048828125,-0.0005536596581805497,4.643622353672981,5.615505442023277,0.006722828022247995,0.2958049774169922,1127.039931364973,cuda
