update,global_step,mean_reward,done_rate,policy_loss,value_loss,entropy,approx_kl,explained_variance,steps_per_second,device,policy_mode,residual_scale
1,6144,-0.015249215066432953,0.0,0.0001321574155655172,1.402391751607259,3.1138543817732067,0.009379285791914703,0.013723611831665039,269.643480733213,cuda,residual_expert,0.4
2,12288,0.5298258662223816,0.0068359375,0.0007550809532403946,820.6679484049479,3.1141454908582897,0.006606142169200919,0.0016608834266662598,450.701585645124,cuda,residual_expert,0.4
3,18432,0.13842718303203583,0.0016276041278615594,-0.0002735188075651725,137.6798841688368,3.113793558544583,0.0007647908221568085,0.007465004920959473,279.85997846839075,cuda,residual_expert,0.4
4,24576,0.3585827350616455,0.0071614584885537624,-0.00021190879245599112,787.8455810546875,3.113314972983466,0.002687723440532055,0.0028737783432006836,325.3479624239769,cuda,residual_expert,0.4
5,30720,0.32772552967071533,0.0048828125,-0.001011118706729677,573.3857693142361,3.1132299635145397,0.001367528175857539,0.004855453968048096,358.42280815436817,cuda,residual_expert,0.4
6,36864,0.21481512486934662,0.0035807292442768812,-0.0007075322791934013,375.5344712999132,3.114502271016439,0.0023270000820048153,0.008687198162078857,288.7382511399178,cuda,residual_expert,0.4
7,43008,0.3946385383605957,0.0055338540114462376,0.00016231814192401039,646.4493204752604,3.1166027122073703,0.002059489100550612,0.008149147033691406,374.84017868518373,cuda,residual_expert,0.4
8,49152,0.2743924856185913,0.0029296875,-0.0010877413054307301,332.6068115234375,3.1175630622439914,0.0010865952677300407,0.010190308094024658,326.5789116270928,cuda,residual_expert,0.4
9,55296,0.34069034457206726,0.0061848959885537624,-0.0008266097865998745,679.1569078233507,3.1181623935699463,0.0008885584635815272,0.008581757545471191,322.3407671145908,cuda,residual_expert,0.4
10,61440,0.3349982798099518,0.0042317709885537624,-0.0007233553462558322,493.8608093261719,3.118023157119751,0.00047373196705141,0.016821861267089844,366.76446841701863,cuda,residual_expert,0.4
11,67584,0.28395798802375793,0.0035807292442768812,-4.4865947630670336e-05,385.8952331542969,3.117753956052992,0.0008070101094846097,0.014880120754241943,316.1961567274916,cuda,residual_expert,0.4
12,73728,0.3413534164428711,0.0052083334885537624,-9.500266363223393e-05,554.2701483832466,3.1177913082970514,0.0006783560869128754,0.017270982265472412,341.21420955726285,cuda,residual_expert,0.4
